user_id,username,role,grade,major,class_name,profile_tag,assessment_date,usage_frequency,scenario_pervasiveness,academic_substitution,independent_thinking_loss,result_verification_weakness,critical_judgement_weakness,academic_integrity_risk,privacy_security_risk,social_collaboration_displacement,emotional_dependence
1001,2022040001,student,2022,数据科学与大数据技术,2022级数科1班,效率驱动型,2025-10-15 21:27:00,68.73,74.62,78.35,58.33,54.66,47.64,61.12,37.29,40.96,59.42
1001,2022040001,student,2022,数据科学与大数据技术,2022级数科1班,效率驱动型,2025-12-27 20:16:00,69.28,71.62,84.05,55.19,59.76,37.47,54.59,43.49,35.24,46.43
1001,2022040001,student,2022,数据科学与大数据技术,2022级数科1班,效率驱动型,2026-04-05 20:17:00,63.65,74.5,83.12,61.88,54.21,47.33,63.07,37.63,42.24,52.99
1002,2023020001,student,2023,计算机科学与技术,2023级计科1班,谨慎低频型,2025-09-19 19:54:00,27.37,46.49,45.74,28.09,23.64,18.23,25.33,20.01,25.01,26.74
1002,2023020001,student,2023,计算机科学与技术,2023级计科1班,谨慎低频型,2025-10-20 18:26:00,29.58,41.91,50.22,36.94,23.98,20.24,31.95,16.81,22.08,18.59
1002,2023020001,student,2023,计算机科学与技术,2023级计科1班,谨慎低频型,2025-12-25 20:10:00,27.32,41.07,35.44,19.24,31.27,26.25,22.48,12.25,27.72,32.39
1003,2025010001,student,2025,软件工程,2025级软工1班,高压替代型,2025-10-14 17:51:00,68.97,82.54,84.45,70.42,65.98,51.9,61.18,43.79,50.39,59.23
1003,2025010001,student,2025,软件工程,2025级软工1班,高压替代型,2026-01-12 19:09:00,80.82,83.37,94.86,80.19,54.01,57.31,74.69,41.32,57.07,71.27
1003,2025010001,student,2025,软件工程,2025级软工1班,高压替代型,2026-04-10 19:09:00,74.74,84.12,88.7,69.82,60.88,53.17,69.75,47.47,45.23,58.87
1004,2022040002,student,2022,数据科学与大数据技术,2022级数科2班,自主审慎型,2025-10-15 19:23:00,34.27,55.87,60.32,39.35,41.47,36.04,41.53,31.29,28.73,33.09
1004,2022040002,student,2022,数据科学与大数据技术,2022级数科2班,自主审慎型,2025-11-15 18:46:00,37.84,43.73,55.3,40.81,37.9,37.51,45.05,21.67,31.02,34.49
1004,2022040002,student,2022,数据科学与大数据技术,2022级数科2班,自主审慎型,2026-03-17 20:46:00,34.14,46.28,53.81,45.97,31.32,28.83,38.1,18.54,28.7,37.53
1004,2022040002,student,2022,数据科学与大数据技术,2022级数科2班,自主审慎型,2026-04-07 18:52:00,36.42,52.56,65.41,38.51,37.75,38.44,38.32,27.54,32.92,35.85
1005,2022080001,student,2022,财务管理,2022级财管1班,自主审慎型,2025-09-22 17:45:00,33.29,54.45,52.89,44.48,31.5,27.15,43.59,20.85,33.24,32.68
1005,2022080001,student,2022,财务管理,2022级财管1班,自主审慎型,2025-12-28 00:06:00,26.85,46.24,58.59,36.28,34.54,31.01,34.73,27.84,23.79,40.34
1005,2022080001,student,2022,财务管理,2022级财管1班,自主审慎型,2026-01-12 21:21:00,30.11,42.67,53.82,44.57,36.99,24.18,40.53,23.09,26.76,39.09
1006,2024060001,student,2024,数字媒体技术,2024级数媒1班,泛化依赖型,2025-09-21 21:37:00,60.04,71.83,76.14,61.63,50.65,51.16,52.24,46.17,51.05,49.34
1006,2024060001,student,2024,数字媒体技术,2024级数媒1班,泛化依赖型,2026-04-10 18:56:00,69.28,82.31,75.51,64.86,46.49,37.48,54.55,47.03,44.19,56.71
1007,2023010001,student,2023,软件工程,2023级软工1班,泛化依赖型,2025-09-21 18:31:00,77.28,81.22,81.6,68.19,53.59,50.67,55.3,42.71,42.98,61.52
1007,2023010001,student,2023,软件工程,2023级软工1班,泛化依赖型,2025-12-20 20:28:00,73.98,79.59,88.15,70.61,56.03,48.22,58.66,44.2,49.92,61.11
1007,2023010001,student,2023,软件工程,2023级软工1班,泛化依赖型,2026-03-14 17:25:00,75.55,85.56,93.61,62.26,53.2,46.0,57.41,38.03,47.77,57.13
1008,2023110001,student,2023,市场营销,2023级营销1班,平衡辅助型,2025-10-19 18:38:00,28.72,43.81,52.36,42.26,38.51,32.17,32.89,23.03,23.83,31.38
1008,2023110001,student,2023,市场营销,2023级营销1班,平衡辅助型,2025-12-19 23:51:00,42.32,44.97,51.85,49.19,39.45,30.35,31.21,20.08,31.08,35.67
1008,2023110001,student,2023,市场营销,2023级营销1班,平衡辅助型,2026-01-10 20:13:00,33.8,53.16,55.28,40.62,34.65,30.47,43.68,25.02,31.31,34.76
1009,2024100001,student,2024,心理学,2024级心理1班,平衡辅助型,2025-10-19 21:28:00,39.05,44.46,52.6,36.59,40.21,35.81,49.78,31.08,26.4,37.89
1009,2024100001,student,2024,心理学,2024级心理1班,平衡辅助型,2025-11-08 20:03:00,37.85,42.22,51.67,43.6,35.87,34.32,38.72,25.44,25.68,41.33
1009,2024100001,student,2024,心理学,2024级心理1班,平衡辅助型,2025-12-23 20:16:00,39.85,50.3,60.4,43.61,36.65,33.65,44.03,28.15,35.08,43.83
1009,2024100001,student,2024,心理学,2024级心理1班,平衡辅助型,2026-03-14 19:34:00,32.16,51.61,56.42,42.39,38.08,27.69,43.67,17.29,29.41,38.14
1010,2022010001,student,2022,软件工程,2022级软工1班,效率驱动型,2025-09-14 20:33:00,55.72,69.37,76.72,49.41,50.26,45.25,52.79,31.5,39.08,51.75
1010,2022010001,student,2022,软件工程,2022级软工1班,效率驱动型,2025-10-20 18:55:00,62.22,67.62,73.24,56.65,47.71,46.84,52.25,43.8,37.53,46.55
1010,2022010001,student,2022,软件工程,2022级软工1班,效率驱动型,2026-01-09 19:25:00,61.92,71.64,74.33,54.73,51.06,46.1,52.75,35.17,44.07,53.81
1011,2024060002,student,2024,数字媒体技术,2024级数媒2班,高压替代型,2025-09-19 21:39:00,70.48,74.75,80.29,59.67,53.8,50.38,68.33,47.16,49.54,67.15
1011,2024060002,student,2024,数字媒体技术,2024级数媒2班,高压替代型,2025-10-13 21:22:00,70.09,74.87,78.08,59.46,48.36,48.49,66.79,46.21,49.27,61.4
1011,2024060002,student,2024,数字媒体技术,2024级数媒2班,高压替代型,2025-12-19 23:28:00,73.0,79.91,91.57,75.55,60.5,54.38,76.54,47.53,51.45,56.71
1011,2024060002,student,2024,数字媒体技术,2024级数媒2班,高压替代型,2026-01-09 21:52:00,71.97,81.08,89.24,69.97,47.29,53.98,62.68,38.26,47.74,59.86
1012,2023030001,student,2023,人工智能,2023级人工智能1班,平衡辅助型,2025-11-08 21:22:00,47.96,55.4,60.13,51.69,47.33,36.61,45.14,33.82,29.97,38.15
1012,2023030001,student,2023,人工智能,2023级人工智能1班,平衡辅助型,2025-12-25 22:02:00,48.42,64.16,62.12,44.52,44.8,42.77,49.34,39.92,29.47,42.31
1013,2025050001,student,2025,网络工程,2025级网工1班,效率驱动型,2025-11-11 22:43:00,54.43,63.56,63.53,57.1,49.15,41.7,58.99,33.56,37.72,44.54
1013,2025050001,student,2025,网络工程,2025级网工1班,效率驱动型,2025-12-22 23:22:00,52.53,68.02,68.51,56.76,43.15,42.69,50.29,31.99,40.71,45.09
1013,2025050001,student,2025,网络工程,2025级网工1班,效率驱动型,2026-01-14 20:28:00,56.63,62.69,67.15,50.23,43.96,45.49,54.4,33.23,26.17,51.92
1013,2025050001,student,2025,网络工程,2025级网工1班,效率驱动型,2026-04-06 21:29:00,59.51,64.19,73.78,58.96,44.66,41.9,54.76,35.17,41.74,46.38
1014,2023070001,student,2023,电气工程及其自动化,2023级电气1班,效率驱动型,2025-10-20 21:11:00,40.11,56.14,60.0,48.33,41.0,44.55,45.39,32.34,31.82,39.84
1014,2023070001,student,2023,电气工程及其自动化,2023级电气1班,效率驱动型,2025-12-20 19:52:00,47.55,50.12,58.22,52.01,41.07,38.66,43.66,35.29,26.28,38.91
1014,2023070001,student,2023,电气工程及其自动化,2023级电气1班,效率驱动型,2026-04-12 23:30:00,45.38,52.58,55.54,46.08,33.47,36.09,53.3,28.23,30.32,37.46
1015,2024020001,student,2024,计算机科学与技术,2024级计科1班,高压替代型,2025-10-20 21:53:00,66.35,71.92,88.0,63.19,55.97,55.36,60.86,41.79,52.58,49.55
1015,2024020001,student,2024,计算机科学与技术,2024级计科1班,高压替代型,2026-01-10 21:38:00,73.77,74.46,79.91,70.3,48.03,49.82,66.2,37.46,50.15,54.72
1016,2024110001,student,2024,市场营销,2024级营销1班,高压替代型,2025-12-23 22:19:00,54.5,66.87,79.13,64.21,47.81,45.92,59.67,39.25,46.09,59.45
1016,2024110001,student,2024,市场营销,2024级营销1班,高压替代型,2026-04-06 18:50:00,60.85,70.45,78.09,67.65,46.47,50.99,62.45,37.53,48.19,56.6
1017,2023050001,student,2023,网络工程,2023级网工1班,泛化依赖型,2025-11-15 21:52:00,73.33,79.17,80.99,65.98,58.51,45.4,61.79,45.49,47.12,60.33
1017,2023050001,student,2023,网络工程,2023级网工1班,泛化依赖型,2025-12-22 21:51:00,74.76,74.44,88.25,71.35,54.89,53.4,52.36,43.54,48.65,56.67
1017,2023050001,student,2023,网络工程,2023级网工1班,泛化依赖型,2026-03-16 21:41:00,76.38,86.59,88.91,69.61,54.7,47.54,56.16,42.53,53.28,50.16
1017,2023050001,student,2023,网络工程,2023级网工1班,泛化依赖型,2026-04-08 21:07:00,74.28,77.4,86.93,65.26,54.46,54.41,57.47,38.02,48.7,61.79
1018,2022010002,student,2022,软件工程,2022级软工2班,平衡辅助型,2025-10-17 19:25:00,41.71,56.2,58.12,42.94,39.21,31.82,44.35,32.8,35.12,37.1
1018,2022010002,student,2022,软件工程,2022级软工2班,平衡辅助型,2025-12-20 00:32:00,47.91,60.57,63.46,46.9,40.33,31.42,44.16,21.61,40.11,46.26
1018,2022010002,student,2022,软件工程,2022级软工2班,平衡辅助型,2026-01-14 21:53:00,39.88,62.16,62.29,46.53,46.54,36.24,43.02,29.86,29.25,44.8
1019,2023100001,student,2023,心理学,2023级心理1班,平衡辅助型,2025-09-15 17:33:00,37.02,47.0,45.26,44.91,34.18,32.35,36.6,24.97,27.61,40.94
1019,2023100001,student,2023,心理学,2023级心理1班,平衡辅助型,2025-10-17 20:17:00,40.52,47.32,58.61,42.87,38.67,32.19,35.96,25.87,32.16,40.62
1019,2023100001,student,2023,心理学,2023级心理1班,平衡辅助型,2026-01-07 18:08:00,39.85,45.3,54.92,44.64,32.85,35.27,42.27,27.41,35.72,39.62
1019,2023100001,student,2023,心理学,2023级心理1班,平衡辅助型,2026-04-10 20:13:00,34.99,49.22,55.99,43.54,36.94,35.08,39.37,17.34,30.49,42.81
1020,2024050001,student,2024,网络工程,2024级网工1班,效率驱动型,2025-09-21 18:49:00,41.4,60.7,70.21,49.38,39.78,45.5,50.2,30.17,38.62,48.1
1020,2024050001,student,2024,网络工程,2024级网工1班,效率驱动型,2025-11-12 19:54:00,45.86,62.33,76.74,51.95,49.14,48.81,51.26,37.66,38.28,51.32
1020,2024050001,student,2024,网络工程,2024级网工1班,效率驱动型,2026-01-13 20:47:00,47.83,62.83,69.35,57.84,52.28,38.85,53.21,38.66,43.39,52.91
1021,2023110002,student,2023,市场营销,2023级营销2班,谨慎低频型,2025-09-18 17:25:00,14.49,28.76,38.42,25.34,29.49,22.06,21.97,12.84,29.5,25.33
1021,2023110002,student,2023,市场营销,2023级营销2班,谨慎低频型,2025-10-16 18:30:00,12.02,33.65,32.4,29.37,22.94,16.94,25.81,14.12,18.36,29.86
1021,2023110002,student,2023,市场营销,2023级营销2班,谨慎低频型,2025-12-22 20:05:00,8.61,37.31,37.37,26.46,32.07,18.47,26.23,13.41,19.6,29.12
1021,2023110002,student,2023,市场营销,2023级营销2班,谨慎低频型,2026-01-10 18:23:00,16.1,34.38,37.94,31.43,27.38,20.7,29.25,16.56,19.09,29.25
1021,2023110002,student,2023,市场营销,2023级营销2班,谨慎低频型,2026-04-10 22:46:00,9.38,36.55,38.04,26.4,23.75,17.18,23.55,11.21,24.09,29.57
1022,2024090001,student,2024,汉语言文学,2024级汉文1班,谨慎低频型,2026-03-13 19:04:00,17.23,33.22,33.45,25.08,27.25,20.72,38.98,18.16,24.44,33.9
1022,2024090001,student,2024,汉语言文学,2024级汉文1班,谨慎低频型,2026-04-06 23:15:00,21.64,31.62,43.99,29.59,24.58,23.58,24.41,11.2,21.77,26.49
1023,2022080002,student,2022,财务管理,2022级财管2班,高压替代型,2025-10-18 18:39:00,59.43,69.45,82.63,68.58,53.57,44.03,62.39,42.1,42.61,57.02
1023,2022080002,student,2022,财务管理,2022级财管2班,高压替代型,2025-12-21 22:28:00,62.71,68.25,83.62,64.23,53.67,48.79,65.16,44.69,44.51,54.73
1023,2022080002,student,2022,财务管理,2022级财管2班,高压替代型,2026-04-06 19:15:00,67.95,74.05,82.86,65.35,51.86,53.17,60.07,32.27,46.65,59.27
1024,2024010001,student,2024,软件工程,2024级软工1班,平衡辅助型,2025-12-20 21:54:00,42.45,52.55,61.21,41.36,39.15,35.84,36.93,33.22,30.21,52.06
1024,2024010001,student,2024,软件工程,2024级软工1班,平衡辅助型,2026-03-16 19:08:00,36.1,55.63,61.51,42.64,34.97,37.49,40.95,25.14,30.52,34.21
1024,2024010001,student,2024,软件工程,2024级软工1班,平衡辅助型,2026-04-08 19:44:00,38.21,53.38,60.89,42.04,39.32,32.37,42.54,35.57,33.56,43.1
1025,2022010003,student,2022,软件工程,2022级软工3班,失衡高依赖型,2025-09-16 19:28:00,85.64,82.03,99.81,78.82,58.77,61.04,74.08,53.07,55.21,71.55
1025,2022010003,student,2022,软件工程,2022级软工3班,失衡高依赖型,2026-01-12 21:18:00,77.65,87.62,92.78,82.17,70.8,62.5,74.2,49.45,56.1,70.6
1025,2022010003,student,2022,软件工程,2022级软工3班,失衡高依赖型,2026-03-18 19:47:00,78.71,89.3,93.24,77.38,69.36,66.02,77.59,50.38,51.05,63.96
1025,2022010003,student,2022,软件工程,2022级软工3班,失衡高依赖型,2026-04-12 20:05:00,79.38,93.25,94.7,75.48,65.33,65.87,71.74,48.89,59.42,69.01
1026,2024040001,student,2024,数据科学与大数据技术,2024级数科1班,泛化依赖型,2025-09-21 18:37:00,65.33,71.15,74.01,63.22,54.29,47.34,52.84,35.58,46.85,53.49
1026,2024040001,student,2024,数据科学与大数据技术,2024级数科1班,泛化依赖型,2025-10-12 21:55:00,74.86,75.02,80.89,63.03,56.25,54.53,58.7,45.83,42.83,58.07
1026,2024040001,student,2024,数据科学与大数据技术,2024级数科1班,泛化依赖型,2026-03-18 19:32:00,67.17,79.05,84.57,63.65,50.19,53.42,56.78,46.34,49.69,55.36
1027,2023010002,student,2023,软件工程,2023级软工2班,高压替代型,2025-10-19 20:21:00,75.01,82.79,87.39,72.34,65.14,54.46,71.45,45.77,57.78,67.65
1027,2023010002,student,2023,软件工程,2023级软工2班,高压替代型,2025-11-15 22:24:00,79.68,78.41,89.3,67.54,58.16,52.06,64.88,48.14,52.97,60.12
1027,2023010002,student,2023,软件工程,2023级软工2班,高压替代型,2026-03-15 18:37:00,81.85,85.35,87.99,72.71,57.57,55.9,72.84,48.78,48.74,60.37
1028,2022050001,student,2022,网络工程,2022级网工1班,效率驱动型,2025-10-18 17:53:00,61.52,66.95,71.62,57.48,54.45,36.76,53.66,28.24,41.69,53.64
1028,2022050001,student,2022,网络工程,2022级网工1班,效率驱动型,2025-12-27 23:17:00,56.17,72.7,69.92,55.68,46.17,40.56,58.56,30.41,37.4,47.66
1028,2022050001,student,2022,网络工程,2022级网工1班,效率驱动型,2026-03-17 18:42:00,63.46,71.6,71.87,51.76,44.32,40.22,58.8,37.0,39.21,38.32
1028,2022050001,student,2022,网络工程,2022级网工1班,效率驱动型,2026-04-09 23:19:00,57.43,66.33,69.01,56.94,44.98,39.25,53.08,38.62,29.56,50.18
1029,2024010002,student,2024,软件工程,2024级软工2班,效率驱动型,2025-09-22 19:19:00,59.85,62.12,70.7,58.4,49.08,48.7,51.37,39.46,39.43,47.32
1029,2024010002,student,2024,软件工程,2024级软工2班,效率驱动型,2025-12-20 20:59:00,51.2,71.7,66.94,61.19,47.92,44.93,58.37,34.98,39.12,54.47
1029,2024010002,student,2024,软件工程,2024级软工2班,效率驱动型,2026-04-04 22:47:00,57.73,72.31,77.4,59.38,52.45,43.55,59.91,41.78,43.96,58.98
1030,2025020001,student,2025,计算机科学与技术,2025级计科1班,平衡辅助型,2025-10-13 18:21:00,47.54,54.92,69.87,44.68,35.12,36.99,51.1,35.17,32.2,39.05
1030,2025020001,student,2025,计算机科学与技术,2025级计科1班,平衡辅助型,2025-11-12 20:42:00,44.81,54.07,62.39,47.01,34.41,34.0,47.49,32.01,31.15,32.88
1030,2025020001,student,2025,计算机科学与技术,2025级计科1班,平衡辅助型,2026-01-09 20:20:00,48.54,59.15,66.27,53.21,38.5,35.11,48.47,32.55,33.55,41.78
1030,2025020001,student,2025,计算机科学与技术,2025级计科1班,平衡辅助型,2026-03-13 18:15:00,48.82,55.67,56.41,44.69,38.98,28.61,44.17,31.7,25.24,38.52
1031,2023010003,student,2023,软件工程,2023级软工3班,高压替代型,2025-09-20 19:26:00,68.09,72.28,88.05,69.55,44.72,53.44,68.67,39.86,48.23,59.4
1031,2023010003,student,2023,软件工程,2023级软工3班,高压替代型,2025-11-08 20:36:00,69.52,75.55,86.22,63.9,60.19,53.45,75.92,46.96,47.7,54.25
1031,2023010003,student,2023,软件工程,2023级软工3班,高压替代型,2025-12-22 23:17:00,74.32,84.11,88.3,65.44,60.5,54.97,71.53,47.32,49.17,60.35
1031,2023010003,student,2023,软件工程,2023级软工3班,高压替代型,2026-01-08 21:49:00,70.48,84.91,83.78,73.1,59.66,58.09,70.39,45.88,40.32,60.84
1031,2023010003,student,2023,软件工程,2023级软工3班,高压替代型,2026-04-06 20:47:00,63.32,76.29,85.97,68.97,51.04,55.51,72.13,48.14,43.34,60.03
